Hostname,Customer,Application,Eth0,Eth1,Env,Release,VIP,CPU,Mem,PDC,DAR 
csu239.cs.kadaster.nl,crm,ic1,10.91.1.239,10.253.120.95,prod,SOL_3_1_2_0,sapcri12/sapcri13,2,15.70 GB,SAP-CRM-KCC (Klanten management) ,,cs.kadaster.nl,147,Almere
csu241.cs.kadaster.nl,crm,dc1,10.91.1.241,10.253.120.97,prod,SOL_3_1_2_0,sapcrd06/sapcrd05,2,15.70 GB,SAP-CRM-KCC (Klanten management) ,,cs.kadaster.nl,147,Almere
csu245.cs.kadaster.nl,crm,pc1,10.91.1.245,10.253.120.42,prod,SOL_3_1_2_0,/sapcrp10,4,48.25 GB,SAP-CRM-BKK (Klachten management) ,,cs.kadaster.nl,213,Almere
csu247.cs.kadaster.nl,crm,pc1,10.91.1.247,10.253.120.40,prod,SOL_3_1_2_0,sapcrp12,4,48.25 GB,SAP-CRM-BKK (Klachten management) ,,cs.kadaster.nl,213,Almere
csu249.cs.kadaster.nl,crm,pc1,10.91.1.249,10.253.120.39,prod,SOL_3_1_2_0,sapcrp14,4,48.25 GB,SAP-CRM-BKK (Klachten management) ,,cs.kadaster.nl,213,Almere
csu251.cs.kadaster.nl,crm,pc1,10.91.1.251,10.253.120.38,prod,SOL_3_1_2_0,sapcrp16,4,48.25 GB,SAP-CRM-BKK (Klachten management) ,,cs.kadaster.nl,213,Almere
csu253.cs.kadaster.nl,crm,pc1,10.91.1.253,10.253.120.41,prod,SOL_3_1_2_0,sapcrp11/sap-crm,1,7.81 GB,SAP-CRM-BKK (Klachten management) ,,cs.kadaster.nl,131,Almere
csu266.cs.kadaster.nl,wf_geo,qx1,10.91.8.6,10.253.120.96,prod,SOL_3_1_2_0,sapwgq55/sapwgq54,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Amsterdam
csu267.cs.kadaster.nl,woz,qx4,10.91.8.7,10.253.120.149,prod,SOL_3_1_2_0,/sapxiq22,2,7.81 GB,LV WOZ,,cs.kadaster.nl,131,Almere
csu268.cs.kadaster.nl,jap,jap-nfs,10.91.8.8,10.253.120.199,prod,PLP_BEHEER_2_0_21_0,,1,1.96 GB,PLP Kadaster beheertooling,,cs.kadaster.nl,38,Amsterdam
csu269.cs.kadaster.nl,mdm,pm1,10.91.8.9,10.253.120.193,prod,SOL_3_1_2_0,/sapmdp00,2,15.70 GB,Master Data Management,,cs.kadaster.nl,147,Almere
csu270.cs.kadaster.nl,kadnl,kadnl-web,10.91.8.10,10.253.122.242,prod,JAP_4_0_11_0,10.91.119.173,2,3.87 GB,Kadaster.nl,kadnl-dar:9.20.3.27,cs.kadaster.nl,28,Amsterdam
csu272.cs.kadaster.nl,woz,woz-ot-cto,10.91.8.12,10.253.122.168,prod,PLP_OT_1_0_9_0,10.91.119.108,2,3.86 GB,LV WOZ CTO,,cs.kadaster.nl,31,Amsterdam
csu275.cs.kadaster.nl,ecc,prd,10.91.8.15,10.253.120.247,prod,SOL_3_1_2_0,/sapr3p00,4,48.25 GB,SAP-ECC-FICO (Financien) ,,cs.kadaster.nl,213,Almere
csu276.cs.kadaster.nl,bgt,bgt-gopubwf,10.91.8.16,10.253.123.118,prod,EAP_4_1_2_0,10.91.119.63,1,1.96 GB,BGT-LV,bgt-gpw-jboss-dar:0.0.7,cs.kadaster.nl,28,Amsterdam
csu277.cs.kadaster.nl,loc,brk-loc4,10.91.8.17,10.253.123.161,prod,JAP_4_0_11_0,10.91.119.20,2,3.87 GB,BRK-BAG Locatie,brk-loc-dar:1.5.2.0,cs.kadaster.nl,28,Almere
csu279.cs.kadaster.nl,roo,roo-geosec-pilot,10.91.8.19,10.253.122.118,prod,PLP_ROO_1_0_12_0,10.91.119.134,4,7.80 GB,RO-Online Pilot,roo-plp-geosec-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu280.cs.kadaster.nl,wf_rz,qw1,10.91.8.20,10.253.120.89,prod,SOL_3_1_2_0,sapwrq93/sapwrq92,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Amsterdam
csu281.cs.kadaster.nl,woz,woz-dl-uit,10.91.8.21,10.253.123.90,prod,PLP_OT_1_0_9_0,10.91.119.220,2,3.86 GB,LV WOZ,,cs.kadaster.nl,31,Almere
